file_name,width,height,class,xmin,ymin,xmax,ymax
0000019949building.jpg,854,572,2,98.87,141.25,209.5,255.84
0000019949building.jpg,854,572,2,723.17,184.07,854.0,308.5
0000019949building.jpg,854,572,2,475.7,48.84,592.3199999999999,168.41
0000019949building.jpg,854,572,2,593.81,62.38,712.6999999999999,178.85
0000019949building.jpg,854,572,2,0.0,259.95,81.34,393.5
0000019949building.jpg,854,572,2,464.75,286.08,595.39,446.46999999999997
0000019949building.jpg,854,572,2,0.0,146.41,72.74,261.0
0000019949building.jpg,854,572,2,217.67,266.84,345.1,413.89
0000019949building.jpg,854,572,2,0.0,30.29,74.46,144.88
0000019949building.jpg,854,572,2,342.98,273.53,459.90000000000003,423.79999999999995
0000019949building.jpg,854,572,2,97.47,30.6,215.5,145.2
0000019949building.jpg,854,572,2,471.2,165.09,593.23,282.38
0000019949building.jpg,854,572,2,351.13,45.97,464.1,159.92000000000002
0000019949building.jpg,854,572,2,591.12,178.21,706.22,297.99
0000019949building.jpg,854,572,2,228.7,148.97,349.68,267.42
0000019949building.jpg,854,572,2,235.41,43.35,345.22,154.09
0000019949building.jpg,854,572,2,99.16,258.72,221.3,398.06000000000006
0000019949building.jpg,854,572,2,730.09,70.69,853.1,180.5
0000019949building.jpg,854,572,2,345.7,155.01,464.79999999999995,272.03
0000019949building.jpg,854,572,2,591.09,299.6,721.73,459.98
0000019869building.jpg,881,720,2,0.0,302.67,105.42,392.83000000000004
0000019869building.jpg,881,720,2,495.71,108.04,631.0,200.01
0000019869building.jpg,881,720,2,0.7,72.8,38.0,137.45999999999998
0000019869building.jpg,881,720,2,792.17,198.6,876.3199999999999,318.41999999999996
0000019869building.jpg,881,720,2,299.86,130.99,490.12,212.42000000000002
0000019869building.jpg,881,720,2,791.22,92.12,875.57,194.89
0000019869building.jpg,881,720,2,133.1,127.08,293.52,210.45999999999998
0000019869building.jpg,881,720,2,115.05,216.85,284.51,312.02
0000019869building.jpg,881,720,2,643.0,432.97,816.89,620.39
0000019869building.jpg,881,720,2,0.01,215.74,118.92,299.5
0000019869building.jpg,881,720,2,19.31,135.72,131.1,216.38
0000019869building.jpg,881,720,2,272.7,424.23,481.67999999999995,572.55
0000019869building.jpg,881,720,2,141.7,61.0,299.1,127.8
0000019869building.jpg,881,720,2,297.16,216.45,491.03000000000003,313.79999999999995
0000019869building.jpg,881,720,2,494.56,206.05,640.81,312.02
0000019869building.jpg,881,720,2,806.32,439.91,878.4300000000001,640.29
0000019869building.jpg,881,720,2,486.3,424.15,634.31,587.92
